 ,Area
799,285
800,354
801,490
802,325
803,467
804,489
805,319
806,308
807,317
808,294
809,324
810,436
811,315
812,474
813,391
814,382
815,311
816,303
817,497
818,296
819,311
820,440
821,331
822,302
823,408
824,292
825,325
826,207
827,304
828,474
829,433
830,308
831,464
832,353
833,465
834,354
835,313
836,302
837,312
838,306
839,343
840,349
841,305
842,383
843,339
844,183
845,299
846,348
847,280
848,323
849,290
850,304
851,309
852,387
853,299
854,373
855,249
856,229
857,214
858,294
859,441
860,309
861,461
862,318
863,294
864,321
865,357
866,311
867,326
868,324
869,326
870,421
871,372
872,321
873,331
874,308
875,325
876,305
877,327
878,441
879,290
880,338
881,308
882,323
883,289
884,382
885,386
886,312
887,321
888,182
889,469
890,327
891,332
892,292
893,346
894,489
895,328
896,348
897,326
898,464
899,295
900,236
901,361
902,333
903,434
904,428
905,341
906,323
907,455
908,303
909,307
910,283
911,314
912,333
913,268
914,484
915,456
916,316
917,287
918,307
919,324
920,455
921,330
922,289
923,411
924,466
925,460
926,333
927,302
928,389
929,356
930,454
931,332
932,485
933,441
934,332
935,321
936,366
937,406
938,411
939,470
940,271
941,303
942,495
943,289
944,299
945,327
946,304
947,280
948,339
949,452
950,494
951,456
952,306
953,414
954,472
955,332
956,406
957,366
958,323
959,467
960,356
961,290
962,305
963,493
964,336
965,399
966,312
967,312
968,271
969,494
970,367
971,461
972,322
973,341
974,435
975,416
976,480
977,363
978,309
979,425
980,306
981,316
982,318
983,293
984,458
985,347
986,460
987,190
988,475
989,400
990,372
991,188
992,282
993,450
994,296
995,311
996,317
997,287
998,370
999,469
1000,287
1001,198
1002,435
1003,306
1004,271
1005,295
1006,282
1007,296
1008,378
1009,463
1010,361
1011,436
1012,320
1013,420
1014,377
1015,262
1016,426
1017,258
1018,272
1019,466
1020,332
1021,370
1022,271
1023,318
1024,444
1025,470
1026,409
1027,274
1028,267
1029,388
1030,344
1031,496
1032,346
1033,291
1034,341
1035,262
1036,307
1037,353
1038,160
1039,305
1040,251
1041,315
1042,308
1043,359
1044,241
1045,301
1046,292
1047,379
1048,276
1049,350
1050,366
1051,316
1052,405
1053,474
1054,359
1055,436
1056,430
1057,310
1058,497
1059,260
1060,211
1061,431
1062,465
1063,275
1064,356
1065,272
1066,391
1067,174
1068,354
1069,185
1070,300
1071,315
1072,280
1073,377
1074,464
1075,202
1076,439
1077,286
1078,419
1079,496
1080,401
1081,402
1082,280
1083,283
1084,243
1085,364
1086,410
1087,484
1088,442
1089,302
1090,497
1091,377
1092,287
1093,408
1094,255
1095,410
1096,291
1097,280
1098,275
1099,355
1100,294
1101,266
1102,420
1103,293
1104,379
1105,326
1106,300
1107,491
1108,301
1109,278
1110,482
1111,316
1112,496
1113,296
1114,285
1115,487
1116,299
1117,288
1118,308
1119,343
1120,471
1121,361
1122,311
1123,351
1124,426
1125,279
1126,312
1127,284
1128,338
1129,268
1130,314
1131,351
1132,412
1133,298
1134,381
1135,418
1136,309
1137,341
1138,303
1139,357
1140,320
1141,330
1142,366
1143,295
1144,273
1145,423
1146,318
1147,306
1148,405
1149,330
1150,371
1151,354
1152,428
1153,325
1154,333
1155,245
1156,316
1157,488
1158,288
1159,391
1160,323
1161,456
1162,357
1163,353
1164,425
1165,419
1166,334
1167,301
1168,309
1169,304
1170,307
1171,356
1172,365
1173,494
1174,337
1175,441
1176,299
1177,282
1178,296
1179,308
1180,382
1181,303
1182,316
1183,481
1184,440
1185,368
1186,386
1187,330
1188,414
1189,313
1190,326
1191,378
1192,293
1193,368
1194,221
1195,310
1196,435
1197,394
1198,367
1199,304
1200,376
1201,449
1202,227
1203,480
1204,319
1205,313
1206,351
1207,366
1208,319
1209,425
1210,334
1211,316
1212,320
1213,338
1214,328
1215,280
1216,313
1217,317
1218,306
1219,454
1220,394
1221,366
1222,296
1223,382
1224,297
1225,347
1226,313
1227,291
1228,346
1229,342
1230,366
1231,315
1232,357
1233,446
1234,445
1235,353
1236,287
1237,306
1238,431
1239,417
1240,344
1241,395
1242,401
1243,425
1244,452
1245,175
1246,411
1247,494
1248,295
1249,368
1250,336
1251,333
1252,422
1253,389
1254,348
1255,447
1256,335
1257,313
1258,469
1259,483
1260,377
1261,347
1262,490
1263,339
1264,355
1265,438
1266,362
1267,315
1268,353
1269,326
1270,359
1271,450
1272,499
1273,394
1274,374
1275,202
1276,213
1277,365
1278,484
1279,415
1280,386
1281,319
1282,349
1283,419
1284,410
1285,372
1286,393
1287,312
1288,321
1289,424
1290,251
1291,353
1292,352
1293,325
1294,377
1295,267
1296,395
1297,414
1298,390
1299,414
1300,279
1301,298
1302,394
1303,379
1304,277
1305,347
1306,355
1307,349
1308,404
1309,405
1310,399
1311,395
1312,406
1313,334
1314,395
1315,394
1316,358
1317,376
1318,384
1319,390
1320,414
1321,371
1322,482
1323,490
1324,331
1325,345
1326,374
1327,361
1328,359
1329,398
1330,332
1331,484
1332,342
1333,351
1334,354
1335,461
1336,492
1337,311
1338,329
1339,355
1340,346
1341,428
1342,351
1343,341
1344,373
1345,468
1346,341
1347,399
1348,364
1349,447
1350,480
1351,360
1352,459
1353,368
1354,404
1355,427
1356,382
1357,341
1358,488
1359,352
1360,330
1361,379
1362,421
1363,396
1364,370
1365,500
1366,429
1367,364
1368,384
1369,394
1370,343
1371,400
1372,373
1373,311
1374,382
1375,406
1376,477
1377,387
1378,379
1379,436
1380,408
1381,398
1382,326
1383,377
1384,450
1385,267
1386,321
1387,396
1388,394
1389,439
1390,357
1391,398
1392,431
1393,419
1394,377
1395,361
1396,394
1397,280
1398,245
1399,406
1400,237
1401,367
1402,385
1403,382
1404,413
1405,362
1406,330
1407,292
1408,380
1409,376
1410,410
1411,471
1412,252
1413,483
1414,421
1415,303
1416,338
1417,291
